VirusFamily,VirusGenus,VirusSpecies,SeverityDiseaseHumans,KnownMammal_TerrPathogenicity,KnownBirdPathogenicity,KnownOtherAnimalPathogenicity
Bunyaviridae,Orthobunyavirus,Acara orthobunyavirus,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Acerodon celebensis polyomavirus 1,None,None,None,None
Polyomaviridae,Betapolyomavirus,Acerodon celebensis polyomavirus 2,None,None,None,None
Poxviridae,Betaentomopoxvirus,Acrobasis zelleri entomopoxvirus,None,None,None,None
Rhabdoviridae,Ephemerovirus,Adelaide River ephemerovirus,None,None,None,None
Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,None,None,None,None
Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,None,None,None,None
Poxviridae,Betaentomopoxvirus,Adoxophyes honmai entomopoxvirus,None,None,None,None
Poxviridae,Gammaentomopoxvirus,Aedes aegypti entomopoxvirus,None,None,None,None
Reoviridae,Dinovernavirus,Aedes pseudoscutellaris reovirus,None,None,None,None
Retroviridae,Spumavirus,African green monkey simian foamy virus,None,None,None,None
Reoviridae,Orbivirus,African horse sickness virus,None,Deadly,None,None
Picornaviridae,Kobuvirus,Aichivirus A,MildIllness,MildIllness,MildIllness,None
Picornaviridae,Kobuvirus,Aichivirus B,None,MildIllness,None,None
Picornaviridae,Kobuvirus,Aichivirus C,None,None,None,None
Bunyaviridae,Orthobunyavirus,Akabane orthobunyavirus,None,SevereIllness,None,None
Rhabdoviridae,Vesiculovirus,Alagoas vesiculovirus,SevereIllness,MildIllness,None,None
Bunyaviridae,Orthobunyavirus,Alajuela orthobunyavirus,None,None,None,None
Herpesviridae,Macavirus,Alcelaphine gammaherpesvirus 1,None,Deadly,None,None
Herpesviridae,Macavirus,Alcelaphine gammaherpesvirus 2,None,None,None,None
Arenaviridae,Reptarenavirus,Alethinophid 1 reptarenavirus,None,None,None,None
Arenaviridae,Reptarenavirus,Alethinophid 2 reptarenavirus,None,None,None,None
Arenaviridae,Reptarenavirus,Alethinophid 3 reptarenavirus,None,None,None,None
Arenaviridae,Mammarenavirus,Allpahuayo mammarenavirus,None,None,None,None
Coronaviridae,Alphacoronavirus,Alphacoronavirus 1,None,SevereIllness,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 1,MildIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 10,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 11,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 12,None,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 13,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 14,MildIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 2,MildIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 4,MildIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 5,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 6,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 7,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 8,SevereIllness,None,None,None
Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,SevereIllness,None,None,None
Arenaviridae,Mammarenavirus,Amapari mammarenavirus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Amsacta moorei entomopoxvirus,None,None,None,None
Herpesviridae,Mardivirus,Anatid alphaherpesvirus 1,None,None,Deadly,None
Bunyaviridae,Hantavirus,Andes hantavirus,Deadly,None,None,None
Rhabdoviridae,Perhabdovirus,Anguillid perhabdovirus,None,None,None,None
Poxviridae,Alphaentomopoxvirus,Anomala cuprea entomopoxvirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Anopheles A orthobunyavirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Anopheles B orthobunyavirus,None,None,None,None
Polyomaviridae,Gammapolyomavirus,Anser anser polyomavirus 1,None,None,MildIllness,None
Parvoviridae,Dependoparvovirus,Anseriform dependoparvovirus 1,None,None,Deadly,None
Herpesviridae,Cytomegalovirus,Aotine betaherpesvirus 1,None,None,None,None
Poxviridae,Alphaentomopoxvirus,Aphodius tasmaniae entomopoxvirus,None,None,None,None
Flaviviridae,Flavivirus,Apoi virus,None,None,None,None
Picornaviridae,Aquamavirus,Aquamavirus A,None,None,None,None
Reoviridae,Aquareovirus,Aquareovirus A,None,None,None,None
Reoviridae,Aquareovirus,Aquareovirus B,None,None,None,None
Reoviridae,Aquareovirus,Aquareovirus C,None,None,None,None
Reoviridae,Aquareovirus,Aquareovirus D,None,None,None,None
Reoviridae,Aquareovirus,Aquareovirus E,None,None,None,None
Reoviridae,Aquareovirus,Aquareovirus F,None,None,None,None
Reoviridae,Aquareovirus,Aquareovirus G,None,None,None,None
Rhabdoviridae,Lyssavirus,Aravan lyssavirus,None,None,None,None
Flaviviridae,Flavivirus,Aroa virus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Arphia conspersa entomopoxvirus,None,None,None,None
Polyomaviridae,Betapolyomavirus,Artibeus planirostris polyomavirus 1,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Artibeus planirostris polyomavirus 2,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Artibeus planirostris polyomavirus 3,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Ateles paniscus polyomavirus 1,None,None,None,None
Herpesviridae,Simplexvirus,Ateline alphaherpesvirus 1,None,None,None,None
Herpesviridae,Rhadinovirus,Ateline gammaherpesvirus 2,None,None,None,None
Herpesviridae,Rhadinovirus,Ateline gammaherpesvirus 3,None,None,None,None
Paramyxoviridae,Aquaparamyxovirus,Atlantic salmon paramyxovirus,None,None,None,None
Togaviridae,Alphavirus,Aura virus,None,None,None,None
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Deadly,Deadly,None,None
Astroviridae,Avastrovirus,Avastrovirus 1,None,None,SevereIllness,None
Astroviridae,Avastrovirus,Avastrovirus 2,None,None,MildIllness,None
Astroviridae,Avastrovirus,Avastrovirus 3,None,None,SevereIllness,None
Polyomaviridae,Gammapolyomavirus,Aves polyomavirus 1,None,None,Deadly,None
Retroviridae,Alpharetrovirus,Avian carcinoma Mill Hill virus 2,None,None,Deadly,None
Coronaviridae,Gammacoronavirus,Avian coronavirus,None,None,Deadly,None
Parvoviridae,Dependoparvovirus,Avian dependoparvovirus 1,None,None,None,None
Retroviridae,Alpharetrovirus,Avian leukosis virus,None,None,SevereIllness,None
Retroviridae,Alpharetrovirus,Avian myeloblastosis virus,None,None,Deadly,None
Retroviridae,Alpharetrovirus,Avian myelocytomatosis virus 29,None,None,None,None
Reoviridae,Orthoreovirus,Avian orthoreovirus,None,None,Deadly,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 10,None,None,None,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 11,None,None,None,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 12,None,None,None,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 2,None,None,MildIllness,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 3,None,None,MildIllness,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 4,None,None,None,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 5,None,None,Deadly,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 6,None,None,None,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 7,None,None,None,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 8,None,None,None,None
Paramyxoviridae,Avulavirus,Avian paramyxovirus 9,None,None,None,None
Picornaviridae,Sapelovirus,Avian sapelovirus,None,None,SevereIllness,None
Retroviridae,Alpharetrovirus,Avian sarcoma virus CT10,None,None,None,None
Picornaviridae,Avihepatovirus,Avihepatovirus A,None,None,SevereIllness,None
Picornaviridae,Avisivirus,Avisivirus A,None,None,None,None
Reoviridae,Orthoreovirus,Baboon orthoreovirus,None,Deadly,None,None
Flaviviridae,Flavivirus,Bagaza virus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Bakau orthobunyavirus,None,None,None,None
Coronaviridae,Unassigned,Ball python nidovirus 1,None,None,None,None
Reoviridae,Seadornavirus,Banna virus,SevereIllness,SevereIllness,None,None
Flaviviridae,Flavivirus,Banzi virus,None,None,None,None
Togaviridae,Alphavirus,Barmah Forest virus,SevereIllness,None,None,None
Coronaviridae,Alphacoronavirus,Bat coronavirus CDPHE15,None,None,None,None
Coronaviridae,Alphacoronavirus,Bat coronavirus HKU10,None,None,None,None
Adenoviridae,Mastadenovirus,Bat mastadenovirus A,None,None,None,None
Adenoviridae,Mastadenovirus,Bat mastadenovirus B,None,None,None,None
Bunyaviridae,Orthobunyavirus,Batama orthobunyavirus,None,None,None,None
Bunyaviridae,Hantavirus,Bayou hantavirus,SevereIllness,None,None,None
Arenaviridae,Mammarenavirus,Bear Canyon mammarenavirus,None,None,None,None
Togaviridae,Alphavirus,Bebaru virus,None,None,None,None
Coronaviridae,Gammacoronavirus,Beluga whale coronavirus SW1,None,None,None,None
Bunyaviridae,Orthobunyavirus,Benevides orthobunyavirus,None,None,None,None
Rhabdoviridae,Ephemerovirus,Berrimah ephemerovirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Bertioga orthobunyavirus,None,None,None,None
Coronaviridae,Betacoronavirus,Betacoronavirus 1,MildIllness,MildIllness,None,None
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,SevereIllness,None,None,None
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,SevereIllness,None,None,None
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 3,MildIllness,None,None,None
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 4,SickUnknownCause,None,None,None
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 5,None,None,None,None
Papillomaviridae,Betapapillomavirus,Betapapillomavirus 6,None,None,None,None
Bunyaviridae,Orthobunyavirus,Bimiti orthobunyavirus,None,None,None,None
Bunyaviridae,Hantavirus,Black Creek Canal hantavirus,SevereIllness,None,None,None
Parvoviridae,Ambidensovirus,Blattodean ambidensovirus 1,None,None,None,None
Parvoviridae,Ambidensovirus,Blattodean ambidensovirus 2,None,None,None,None
Reoviridae,Orbivirus,Bluetongue virus,None,SevereIllness,None,None
Rhabdoviridae,Lyssavirus,Bokeloh bat lyssavirus,None,None,None,None
Flaviviridae,Pestivirus,Border disease virus,None,SevereIllness,None,None
Polyomaviridae,Unassigned,Bos taurus polyomavirus 1,None,None,None,None
Bunyaviridae,Orthobunyavirus,Botambi orthobunyavirus,None,None,None,None
Flaviviridae,Flavivirus,Bouboui virus,None,None,None,None
Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1,None,Deadly,None,None
Herpesviridae,Simplexvirus,Bovine alphaherpesvirus 2,None,MildIllness,None,None
Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 5,None,Deadly,None,None
Adenoviridae,Atadenovirus,Bovine atadenovirus D,None,MildIllness,None,None
Rhabdoviridae,Ephemerovirus,Bovine fever ephemerovirus,None,SevereIllness,None,None
Retroviridae,Spumavirus,Bovine foamy virus,None,None,None,None
Herpesviridae,Rhadinovirus,Bovine gammaherpesvirus 4,None,None,None,None
Herpesviridae,Macavirus,Bovine gammaherpesvirus 6,None,None,None,None
Retroviridae,Lentivirus,Bovine immunodeficiency virus,None,None,None,None
Retroviridae,Deltaretrovirus,Bovine leukemia virus,SickUnknownCause,SevereIllness,None,None
Adenoviridae,Mastadenovirus,Bovine mastadenovirus A,None,MildIllness,None,None
Adenoviridae,Mastadenovirus,Bovine mastadenovirus B,None,MildIllness,None,None
Adenoviridae,Mastadenovirus,Bovine mastadenovirus C,None,Deadly,None,None
Poxviridae,Parapoxvirus,Bovine papular stomatitis virus,MildIllness,MildIllness,None,None
Paramyxoviridae,Respirovirus,Bovine parainfluenza virus 3,None,MildIllness,None,None
Picornaviridae,Aphthovirus,Bovine rhinitis A virus,None,MildIllness,None,None
Picornaviridae,Aphthovirus,Bovine rhinitis B virus,None,MildIllness,None,None
Coronaviridae,Torovirus,Bovine torovirus,None,MildIllness,None,None
Flaviviridae,Pestivirus,Bovine viral diarrhea virus 1,None,Deadly,None,None
Flaviviridae,Pestivirus,Bovine viral diarrhea virus 2,None,Deadly,None,None
Herpesviridae,Varicellovirus,Bubaline alphaherpesvirus 1,None,None,None,None
Bunyaviridae,Phlebovirus,Bujaru phlebovirus,None,None,None,None
Flaviviridae,Flavivirus,Bukalasa bat virus,None,None,None,None
Coronaviridae,Deltacoronavirus,Bulbul coronavirus HKU11,None,None,None,None
Filoviridae,Ebolavirus,Bundibugyo ebolavirus,Deadly,None,None,None
Bunyaviridae,Orthobunyavirus,Bunyamwera orthobunyavirus,SevereIllness,SevereIllness,None,None
Bunyaviridae,Orthobunyavirus,Bushbush orthobunyavirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Bwamba orthobunyavirus,SevereIllness,None,None,None
Togaviridae,Alphavirus,Cabassou virus,None,None,None,None
Flaviviridae,Flavivirus,Cacipacore virus,None,None,None,None
Picornaviridae,Dicipivirus,Cadicivirus A,None,None,None,None
Bunyaviridae,Orthobunyavirus,California encephalitis orthobunyavirus,SevereIllness,None,None,None
Herpesviridae,Lymphocryptovirus,Callitrichine gammaherpesvirus 3,None,None,None,None
Poxviridae,Orthopoxvirus,Camelpox virus,MildIllness,Deadly,None,None
Poxviridae,Gammaentomopoxvirus,Camptochironomus tentans entomopoxvirus,None,None,None,None
Poxviridae,Avipoxvirus,Canarypox virus,None,None,Deadly,None
Bunyaviridae,Phlebovirus,Candiru phlebovirus,MildIllness,None,None,None
Herpesviridae,Varicellovirus,Canid alphaherpesvirus 1,None,Deadly,None,None
Paramyxoviridae,Morbillivirus,Canine distemper virus,None,Deadly,None,None
Adenoviridae,Mastadenovirus,Canine mastadenovirus A,None,Deadly,None,None
Bunyaviridae,Hantavirus,Cano Delgadito hantavirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Capim orthobunyavirus,None,None,None,None
Herpesviridae,Varicellovirus,Caprine alphaherpesvirus 1,None,Deadly,None,None
Retroviridae,Lentivirus,Caprine arthritis encephalitis virus,None,SevereIllness,None,None
Herpesviridae,Macavirus,Caprine gammaherpesvirus 2,None,MildIllness,None,None
Rhabdoviridae,Vesiculovirus,Carajas vesiculovirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Caraparu orthobunyavirus,MildIllness,None,None,None
Polyomaviridae,Alphapolyomavirus,Cardioderma cor polyomavirus 1,None,None,None,None
Picornaviridae,Cardiovirus,Cardiovirus A,SevereIllness,Deadly,None,None
Picornaviridae,Cardiovirus,Cardiovirus B,SickUnknownCause,SevereIllness,None,None
Picornaviridae,Cardiovirus,Cardiovirus C,None,None,None,None
Flaviviridae,Flavivirus,Carey Island virus,None,None,None,None
Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 1,None,SevereIllness,None,None
Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 2,None,MildIllness,None,None
Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1,None,SevereIllness,None,None
Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,None,Deadly,None,None
Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,None,None,None,None
Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,None,SevereIllness,None,None
Polyomaviridae,Alphapolyomavirus,Carollia perspicillata polyomavirus 1,None,None,None,None
Rhabdoviridae,Sprivivirus,Carp sprivivirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Catu orthobunyavirus,SickUnknownCause,None,None,None
Herpesviridae,Unassigned,Caviid betaherpesvirus 2,None,MildIllness,None,None
Herpesviridae,Cytomegalovirus,Cebine betaherpesvirus 1,None,None,None,None
Polyomaviridae,Betapolyomavirus,Cebus albifrons polyomavirus 1,None,None,None,None
Paramyxoviridae,Henipavirus,Cedar henipavirus,None,None,None,None
Polyomaviridae,Unassigned,Centropristis striata polyomavirus 1,None,None,None,None
Herpesviridae,Simplexvirus,Cercopithecine alphaherpesvirus 2,None,None,None,None
Herpesviridae,Varicellovirus,Cercopithecine alphaherpesvirus 9,None,None,None,None
Herpesviridae,Cytomegalovirus,Cercopithecine betaherpesvirus 5,None,None,None,None
Herpesviridae,Lymphocryptovirus,Cercopithecine gammaherpesvirus 14,None,None,None,None
Polyomaviridae,Betapolyomavirus,Cercopithecus erythrotis polyomavirus 1,None,None,None,None
Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 1,None,None,None,None
Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 2,None,None,None,None
Paramyxoviridae,Morbillivirus,Cetacean morbillivirus,None,None,None,Deadly
Rhabdoviridae,Vesiculovirus,Chandipura vesiculovirus,Deadly,None,None,None
Reoviridae,Orbivirus,Changuinola virus,MildIllness,MildIllness,None,None
Arenaviridae,Mammarenavirus,Chapare mammarenavirus,Deadly,None,None,None
Herpesviridae,Scutavirus,Chelonid alphaherpesvirus 5,None,None,None,Deadly
Herpesviridae,Unassigned,Chelonid alphaherpesvirus 6,None,None,None,None
Reoviridae,Orbivirus,Chenuda virus,None,None,None,None
Retroviridae,Gammaretrovirus,Chick syncytial virus,None,None,None,None
Anelloviridae,Gyrovirus,Chicken anemia virus,None,None,Deadly,None
Togaviridae,Alphavirus,Chikungunya virus,SevereIllness,None,None,None
Bunyaviridae,Phlebovirus,Chilibre phlebovirus,None,None,None,None
Papillomaviridae,Chipapillomavirus,Chipapillomavirus 1,None,SevereIllness,None,None
Papillomaviridae,Chipapillomavirus,Chipapillomavirus 2,None,MildIllness,None,None
Papillomaviridae,Chipapillomavirus,Chipapillomavirus 3,None,MildIllness,None,None
Poxviridae,Gammaentomopoxvirus,Chironomus attenuatus entomopoxvirus,None,None,None,None
Poxviridae,Gammaentomopoxvirus,Chironomus luridus entomopoxvirus,None,None,None,None
Poxviridae,Gammaentomopoxvirus,Chironomus plumosus entomopoxvirus,None,None,None,None
Parvoviridae,Dependoparvovirus,Chiropteran dependoparvovirus 1,None,None,None,None
Parvoviridae,Tetraparvovirus,Chiropteran tetraparvovirus 1,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Chlorocebus pygerythrus polyomavirus 1,None,None,None,None
Polyomaviridae,Betapolyomavirus,Chlorocebus pygerythrus polyomavirus 2,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Chlorocebus pygerythrus polyomavirus 3,None,None,None,None
Reoviridae,Orbivirus,Chobar Gorge virus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Choristoneura biennis entomopoxvirus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Choristoneura conflicta entomopoxvirus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Choristoneura diversuma entomopoxvirus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Choristoneura fumiferana entomopoxvirus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Choristoneura rosaceana entomopoxvirus,None,None,None,None
Poxviridae,Betaentomopoxvirus,Chorizagrotis auxiliaris entomopoxvirus,None,None,None,None
Flaviviridae,Pestivirus,Classical swine fever virus,None,SevereIllness,None,None
Rhabdoviridae,Tibrovirus,Coastal Plains tibrovirus,None,None,None,None
Rhabdoviridae,Vesiculovirus,Cocal vesiculovirus,MildIllness,MildIllness,None,None
Reoviridae,Coltivirus,Colorado tick fever virus,SevereIllness,None,None,None
Herpesviridae,Mardivirus,Columbid alphaherpesvirus 1,None,None,Deadly,None
Coronaviridae,Deltacoronavirus,Common moorhen coronavirus HKU21,None,None,None,None
Coronaviridae,Deltacoronavirus,Coronavirus HKU15,None,None,None,None
Reoviridae,Orbivirus,Corriparta virus,None,None,None,None
Polyomaviridae,Gammapolyomavirus,Corvus monedula polyomavirus 1,None,None,None,None
Picornaviridae,Cosavirus,Cosavirus A,None,None,None,None
Flaviviridae,Flavivirus,Cowbone Ridge virus,None,None,None,None
Poxviridae,Orthopoxvirus,Cowpox virus,MildIllness,MildIllness,None,None
Polyomaviridae,Gammapolyomavirus,Cracticus torquatus polyomavirus 1,None,None,None,None
Herpesviridae,Rhadinovirus,Cricetid gammaherpesvirus 2,None,None,None,None
Bunyaviridae,Nairovirus,Crimean-Congo hemorrhagic fever nairovirus,Deadly,MildIllness,None,None
Arenaviridae,Mammarenavirus,Cupixi mammarenavirus,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 1,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 10,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 11,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 12,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 13,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 14,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 15,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 16,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 2,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 3,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 4,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 5,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 6,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 7,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 8,None,None,None,None
Reoviridae,Cypovirus,Cypovirus 9,None,None,None,None
Flaviviridae,Flavivirus,Dakar bat virus,None,None,None,None
Arteriviridae,Arterivirus,DeBrazza's monkey arterivirus,None,None,None,None
Parvoviridae,Hepandensovirus,Decapod hepandensovirus 1,None,None,None,None
Parvoviridae,Penstyldensovirus,Decapod penstyldensovirus 1,None,None,None,None
Polyomaviridae,Unassigned,Delphinus delphis polyomavirus 1,None,None,None,None
Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 1,None,SevereIllness,None,None
Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 2,None,MildIllness,None,None
Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 3,None,None,None,None
Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 4,None,SevereIllness,None,None
